# Receiver Set:,rx 1 - 25m to rx 3 - 75m,,
# Transmitter Set:,halo +x,,
# Number of Sets:,3,,
Set Number,Total Paths,,
Path Number,Phase (Deg.),Time (s),Power (dBm)
1,14,,
1,85.423,0.000000059775225,-40.834
2,-91.021,0.000000060465645,-60.385
3,152.182,0.000000061105830,-70.915
4,-71.506,0.000000114523270,-78.316
5,-139.335,0.000000064280350,-83.634
6,169.094,0.000000111396470,-84.696
7,-80.422,0.000000119089410,-88.914
8,-175.941,0.000000122264960,-89.066
9,-169.994,0.000000061295118,-91.017
10,-67.172,0.000000119036840,-95.759
11,5.264,0.000000061477294,-98.23
12,-176.697,0.000000110316340,-99.442
13,-62.883,0.000000094141001,-106.659
14,-79.262,0.000000114861610,-107.045
2,15,,
1,-19.558,0.000000143068750,-48.415
2,142.359,0.000000143816170,-68.243
3,45.551,0.000000144402360,-78.271
4,170.872,0.000000186961160,-87.492
5,56.956,0.000000183833390,-89.796
6,122.757,0.000000147554080,-90.742
7,41.547,0.000000193835520,-96.165
8,-53.922,0.000000197011080,-96.232
9,92.245,0.000000144568840,-98.143
10,49.37,0.000000193782060,-98.939
11,-103.394,0.000000189154550,-104.02
12,-124.442,0.000000144827820,-104.889
13,173.986,0.000000187299650,-107.939
14,150.266,0.000000174589180,-112.289
15,-157.122,0.000000175432040,-112.545
3,16,,
1,-151.499,0.000000226434070,-52.403
2,5.262,0.000000227196710,-72.299
3,-86.51,0.000000227768070,-82.217
4,57.245,0.000000267294780,-91.913
5,-55.573,0.000000264166630,-93.033
6,-6.954,0.000000230913900,-94.601
7,149.167,0.000000274552890,-100.155
8,53.709,0.000000277728450,-100.213
9,155.946,0.000000274499110,-101.839
10,-37.431,0.000000227928670,-102.003
11,-132.023,0.000000270237000,-107.122
12,-87.877,0.000000271118320,-107.191
13,97.807,0.000000228208350,-108.643
14,61.451,0.000000267633280,-110.48
15,-122.286,0.000000257352890,-115.721
16,-69.544,0.000000258189890,-116.109
